Filename, Title (from PDF XMP metadata)
222918s, Respuestas del sector de educacion frente al bullying homofobico; Buenas politicas y practicas para la educacion en VIH y salud. Cuadernillo; Vol.:8; 2013
223646f, Etude sur le developpement des medias au Gabon basee sur les indicateurs de developpement des medias de l'UNESCO; 2013
223828e, Linking generations through radio: a toolkit from Africa for radio producers working with children and youth; 2013
223986e, The Sacred garden of Lumbini: perceptions of Buddha's birthplace; 2013
224531e, Renewing the knowledge societies vision for peace and sustainable development; 2013
224604e," WSIS + 10 Review Meeting: Towards Knowledge Societies for Peace and Sustainable Development; 1st; Towards Knowledge Societies for Peace and Sustainable Development, first WSIS+10 review event: outcomes; 2013"
224630e," Strengthening the governance of culture to unlock development opportunities, results of the UNESCO-EU expert facility project; 2013"
224655e, Global Media and Information Literacy Assessment Framework: country readiness and competencies; 2013
224662e, Tuning into development: international comparative survey of community broadcasting regulation; 2013
224677e," World social science report, 2013: changing global environments; 2013"
224698e," Creative economy report, 2013, special edition: widening local development pathways; 2014"
224725e," Mapping research and innovation in the Republic of Botswana; GO-SPIN country profiles in science, technology and innovation policy; Vol.:1; 2013"
224787e, Managing cultural world heritage; World heritage resource manual; 2013
225035e," Household literacy survey 2011 in Eastern Highlands Province and Autonomous Region of Bougainville, Papua New Guinea; 2013"
225258e, Sustaining literacy in Africa: developing a literate environment; Emerging trends in youth and adult literacy; 2014
225312e," Asia-Pacific Regional Policy Forum on Early Childhood Care and Education, 10-12 September 2013, Seoul, Republic of Korea: final report; 2013"
225451e, Climate change in Africa: a guidebook for journalists; UNESCO series on journalism education; 2013
225481m, Earthen architecture in today's world: proceedings of the UNESCO International Colloquium on the Conservation of World Heritage Earthen Architecture; World heritage series: papers; Vol.:36; 2013
225510f," Nzinga Mbandi, reine du Ndongo et du Matamba; UNESCO series on women in African history; 2014"
225571e, Media regulation in the Mekong and opportunities for the development of public service and community broadcasting; 2013
225606e, Media and information literacy: policy and strategy guidelines; 2013
225614m, A Journey through digital society: 25 innovations that are changing our lives; 2013
225625e, Pakistan: UNESCO Country Programming Document 2013-2017; 2013
225627e, Women's Empowerment for a Culture of Peace and Non-Violence in the Pacific: consultation meeting proceedings; 2013
225741e, The United Nations world water development report 2014; 2014
225973e, Holocaust education in a global context; 2014
226090e, Towards effective capacity development: Capacity Needs Assessment Methodology (CAPNAM) for planning and managing education; 2013
226125e, Charting the course of education and HIV; Education on the move; 2014
226218e," Gender, jobs and education: prospects and realities in the Asia-Pacific; 2013"
226219e, The International mobility of students in Asia and the Pacific; 2013
226220e, Expanding TVET at the secondary education level; Asia-Pacific education system review series; Vol.:7; 2013
226425e, Building inclusive knowledge societies: a review of UNESCO's action in implementing the WSIS outcomes; 2014
226457s, La Investigacion a partir de historias: manual para periodistas de investigacion; 2013
226462e," Elections reporting in the Arab Region: booklet resulted from the Exchanges of Experiences Seminar, Amman, November 2013; 2014"
226538e, Community learning centres: Asia-Pacific regional conference report 2013; national qualifications frameworks for lifelong learning and skills development; 2013
226721e, Never too late to complete school: results of the UIS survey on adult education and literacy programmes in Latin America and the Caribbean; UIS Information paper; Vol.:15; 2014
226754e, School-related gender-based violence in the Asia-Pacific region; 2014
226792e, Puberty education & menstrual hygiene management; Good policy and practice in HIV & AIDS and education. Booklet; Vol.:9; 2014
226793f, Gerer le patrimoine mondial culturel; Patrimoine mondial: manuel de reference; 2014
226795s, Gestion del patrimonio mundial cultural; Patrimonio mundial: manual de referencia; 2014
226796s, Gestion del patrimonio mundial natural; Patrimonio mundial: manual de referencia; 2014
226842s, Elaboracion de propuestas de inscripcion en la Lista del Patrimonio Mundial; Patrimonio mundial: manual de referencia; 2014
226875f, Vers un droit d'acces a l'information publique: les avancees recentes des normes et des pratiques; 2014
226886f, Rassembler les generations par le biais de la radio: un guide pratique en provenance de l'Afrique a l'intention des professionnels de la radio qui travaillent avec des enfants et des jeunes; 2014
227018s, Gasto publico en la educacion de America Latina ?Puede servir a los propositos de la Declaracion de Paris sobre los Recursos Educativos Abiertos?; Cuadernos de discusion de comunicacion e informacion; Vol.:1; 2014
227025e, World trends in freedom of expression and media development; 2014
227115e, Institutional repository software comparison; 2014
227146e, UNESCO 2013; 2014
227151f, Le Changement climatique en Afrique: guide a l'intention des journalistes; Serie de l'UNESCO sur la formation au journalisme; 2014
227162f, Acceder a l'information c'est notre droit: guide pratique pour promouvoir l'acces a l'information publique au Maroc; 2014
227208e, Learning to live together; 2014
227229e, Model policy for inclusive ICTs in education for persons with disabilities; 2014
227284e, Adolescents' HIV prevention and treatment toolkit for Eastern and Southern Africa; 2014
227373e, UNESCO/APEID International Conference on Education; 16th; The Heart of education: learning to live together; selected papers presented at the 16th UNESCO-APEID International Conference; 2014
227374e, Information and communication technology (ICT) in education in Asia: a comparative analysis of ICT integration and e-readiness in schools across Asia; UIS Information paper; Vol.:22; 2014
